2.58326e-03 1.80830e+09  -1.80810e+09 0.00000e+00 
2.61041e-03 1.88541e+09  -1.88521e+09 0.00000e+00 
2.63756e-03 1.96497e+09  -1.96476e+09 0.00000e+00 
2.66471e-03 2.04699e+09  -2.04678e+09 0.00000e+00 
2.69186e-03 2.13151e+09  -2.13129e+09 0.00000e+00 
2.71901e-03 2.21855e+09  -2.21833e+09 0.00000e+00 
2.74615e-03 2.30815e+09  -2.30792e+09 0.00000e+00 
2.77330e-03 2.40033e+09  -2.40011e+09 0.00000e+00 
2.80044e-03 2.49516e+09  -2.49493e+09 0.00000e+00 
2.82759e-03 2.59267e+09  -2.59243e+09 0.00000e+00 
2.85473e-03 2.69292e+09  -2.69268e+09 0.00000e+00 
2.88187e-03 2.79599e+09  -2.79574e+09 0.00000e+00 
2.90901e-03 2.90192e+09  -2.90167e+09 0.00000e+00 
2.93615e-03 3.01081e+09  -3.01056e+09 0.00000e+00 
2.96329e-03 3.12273e+09  -3.12248e+09 0.00000e+00 
2.99042e-03 3.23776e+09  -3.23750e+09 0.00000e+00 
3.01756e-03 3.35598e+09  -3.35572e+09 0.00000e+00 
3.04469e-03 3.47747e+09  -3.47720e+09 0.00000e+00 
3.07183e-03 3.60230e+09  -3.60202e+09 0.00000e+00 
3.09896e-03 3.73054e+09  -3.73026e+09 0.00000e+00 
3.12609e-03 3.86226e+09  -3.86197e+09 0.00000e+00 
3.15323e-03 3.99750e+09  -3.99721e+09 0.00000e+00 
3.18036e-03 4.13632e+09  -4.13602e+09 0.00000e+00 
3.20749e-03 4.27877e+09  -4.27847e+09 0.00000e+00 
3.23462e-03 4.42489e+09  -4.42458e+09 0.00000e+00 
3.26175e-03 4.57470e+09  -4.57439e+09 0.00000e+00 
3.28888e-03 4.72825e+09  -4.72793e+09 0.00000e+00 
3.31601e-03 4.88558e+09  -4.88525e+09 0.00000e+00 
3.34313e-03 5.04672e+09  -5.04639e+09 0.00000e+00 
3.37026e-03 5.21171e+09  -5.21137e+09 0.00000e+00 
3.39738e-03 5.38060e+09  -5.38026e+09 0.00000e+00 
3.42451e-03 5.55345e+09  -5.55311e+09 0.00000e+00 
3.45163e-03 5.73032e+09  -5.72997e+09 0.00000e+00 
3.47875e-03 5.91129e+09  -5.91093e+09 0.00000e+00 
3.50587e-03 6.09642e+09  -6.09606e+09 0.00000e+00 
3.53299e-03 6.28580e+09  -6.28543e+09 0.00000e+00 
3.56011e-03 6.47952e+09  -6.47915e+09 0.00000e+00 
3.58723e-03 6.67767e+09  -6.67730e+09 0.00000e+00 
3.61435e-03 6.88035e+09  -6.87997e+09 0.00000e+00 
3.64146e-03 7.08765e+09  -7.08726e+09 0.00000e+00 
3.66858e-03 7.29964e+09  -7.29925e+09 0.00000e+00 
3.69569e-03 7.51643e+09  -7.51603e+09 0.00000e+00 
3.72281e-03 7.73809e+09  -7.73768e+09 0.00000e+00 
