1.29357e-02 5.30994e+09  -5.30935e+09 0.00000e+00 
1.30719e-02 5.53707e+09  -5.53647e+09 0.00000e+00 
1.32081e-02 5.77141e+09  -5.77079e+09 0.00000e+00 
1.33442e-02 6.01311e+09  -6.01248e+09 0.00000e+00 
1.34804e-02 6.26233e+09  -6.26169e+09 0.00000e+00 
1.36166e-02 6.51921e+09  -6.51856e+09 0.00000e+00 
1.37527e-02 6.78392e+09  -6.78325e+09 0.00000e+00 
1.38889e-02 7.05660e+09  -7.05592e+09 0.00000e+00 
1.40251e-02 7.33743e+09  -7.33674e+09 0.00000e+00 
1.41612e-02 7.62655e+09  -7.62585e+09 0.00000e+00 
1.42974e-02 7.92414e+09  -7.92342e+09 0.00000e+00 
1.44336e-02 8.23035e+09  -8.22962e+09 0.00000e+00 
1.45697e-02 8.54536e+09  -8.54461e+09 0.00000e+00 
1.47059e-02 8.86932e+09  -8.86855e+09 0.00000e+00 
1.48421e-02 9.20240e+09  -9.20162e+09 0.00000e+00 
1.49782e-02 9.54478e+09  -9.54399e+09 0.00000e+00 
1.51144e-02 9.89662e+09  -9.89582e+09 0.00000e+00 
1.52506e-02 1.02581e+10  -1.02573e+10 0.00000e+00 
1.53867e-02 1.06294e+10  -1.06286e+10 0.00000e+00 
1.55229e-02 1.10107e+10  -1.10098e+10 0.00000e+00 
1.56590e-02 1.14021e+10  -1.14013e+10 0.00000e+00 
1.57952e-02 1.18039e+10  -1.18031e+10 0.00000e+00 
1.59314e-02 1.22163e+10  -1.22154e+10 0.00000e+00 
1.60675e-02 1.26393e+10  -1.26384e+10 0.00000e+00 
1.62037e-02 1.30732e+10  -1.30723e+10 0.00000e+00 
1.63399e-02 1.35182e+10  -1.35173e+10 0.00000e+00 
1.64760e-02 1.39745e+10  -1.39736e+10 0.00000e+00 
1.66122e-02 1.44422e+10  -1.44413e+10 0.00000e+00 
1.67484e-02 1.49216e+10  -1.49206e+10 0.00000e+00 
1.68845e-02 1.54128e+10  -1.54118e+10 0.00000e+00 
1.70207e-02 1.59161e+10  -1.59150e+10 0.00000e+00 
1.71569e-02 1.64315e+10  -1.64305e+10 0.00000e+00 
1.72930e-02 1.69594e+10  -1.69583e+10 0.00000e+00 
1.74292e-02 1.74999e+10  -1.74988e+10 0.00000e+00 
1.75654e-02 1.80532e+10  -1.80521e+10 0.00000e+00 
1.77015e-02 1.86195e+10  -1.86184e+10 0.00000e+00 
1.78377e-02 1.91991e+10  -1.91980e+10 0.00000e+00 
1.79739e-02 1.97921e+10  -1.97909e+10 0.00000e+00 
1.81100e-02 2.03987e+10  -2.03975e+10 0.00000e+00 
1.82462e-02 2.10191e+10  -2.10180e+10 0.00000e+00 
1.83824e-02 2.16536e+10  -2.16524e+10 0.00000e+00 
1.85185e-02 2.23024e+10  -2.23012e+10 0.00000e+00 
1.86547e-02 2.29656e+10  -2.29644e+10 0.00000e+00 
1.87909e-02 2.36435e+10  -2.36423e+10 0.00000e+00 
1.89270e-02 2.43363e+10  -2.43351e+10 0.00000e+00 
1.90632e-02 2.50442e+10  -2.50430e+10 0.00000e+00 
1.91994e-02 2.57675e+10  -2.57662e+10 0.00000e+00 
1.93355e-02 2.65063e+10  -2.65050e+10 0.00000e+00 
1.94717e-02 2.72609e+10  -2.72596e+10 0.00000e+00 
1.96079e-02 2.80315e+10  -2.80301e+10 0.00000e+00 
1.97440e-02 2.88183e+10  -2.88169e+10 0.00000e+00 
1.98802e-02 2.96215e+10  -2.96201e+10 0.00000e+00 
2.00163e-02 3.04415e+10  -3.04400e+10 0.00000e+00 
2.01525e-02 3.12783e+10  -3.12769e+10 0.00000e+00 
2.02887e-02 3.21323e+10  -3.21308e+10 0.00000e+00 
2.04248e-02 3.30036e+10  -3.30021e+10 0.00000e+00 
2.05610e-02 3.38925e+10  -3.38910e+10 0.00000e+00 
2.06972e-02 3.47993e+10  -3.47978e+10 0.00000e+00 
2.08333e-02 3.57242e+10  -3.57226e+10 0.00000e+00 
2.09695e-02 3.66673e+10  -3.66658e+10 0.00000e+00 
2.11057e-02 3.76290e+10  -3.76275e+10 0.00000e+00 
2.12418e-02 3.86095e+10  -3.86080e+10 0.00000e+00 
2.13780e-02 3.96091e+10  -3.96075e+10 0.00000e+00 
2.15142e-02 4.06279e+10  -4.06263e+10 0.00000e+00 
2.16503e-02 4.16663e+10  -4.16646e+10 0.00000e+00 
2.17865e-02 4.27244e+10  -4.27228e+10 0.00000e+00 
2.19227e-02 4.38026e+10  -4.38009e+10 0.00000e+00 
2.20588e-02 4.49011e+10  -4.48993e+10 0.00000e+00 
2.21950e-02 4.60200e+10  -4.60183e+10 0.00000e+00 
2.23312e-02 4.71598e+10  -4.71580e+10 0.00000e+00 
2.24673e-02 4.83206e+10  -4.83188e+10 0.00000e+00 
2.26035e-02 4.95027e+10  -4.95009e+10 0.00000e+00 
2.27397e-02 5.07064e+10  -5.07046e+10 0.00000e+00 
2.28758e-02 5.19318e+10  -5.19300e+10 0.00000e+00 
2.30120e-02 5.31794e+10  -5.31775e+10 0.00000e+00 
2.31482e-02 5.44493e+10  -5.44474e+10 0.00000e+00 
2.32843e-02 5.57418e+10  -5.57399e+10 0.00000e+00 
2.34205e-02 5.70572e+10  -5.70553e+10 0.00000e+00 
2.35567e-02 5.83957e+10  -5.83938e+10 0.00000e+00 
2.36928e-02 5.97577e+10  -5.97557e+10 0.00000e+00 
2.38290e-02 6.11433e+10  -6.11413e+10 0.00000e+00 
2.39652e-02 6.25529e+10  -6.25509e+10 0.00000e+00 
2.41013e-02 6.39867e+10  -6.39847e+10 0.00000e+00 
2.42375e-02 6.54451e+10  -6.54430e+10 0.00000e+00 
2.43736e-02 6.69282e+10  -6.69261e+10 0.00000e+00 
2.45098e-02 6.84364e+10  -6.84343e+10 0.00000e+00 
2.46460e-02 6.99699e+10  -6.99678e+10 0.00000e+00 
2.47821e-02 7.15291e+10  -7.15269e+10 0.00000e+00 
2.49183e-02 7.31142e+10  -7.31120e+10 0.00000e+00 
2.50545e-02 7.47254e+10  -7.47232e+10 0.00000e+00 
2.51906e-02 7.63632e+10  -7.63610e+10 0.00000e+00 
2.53268e-02 7.80277e+10  -7.80255e+10 0.00000e+00 
2.54630e-02 7.97193e+10  -7.97171e+10 0.00000e+00 
2.55991e-02 8.14383e+10  -8.14360e+10 0.00000e+00 
2.57353e-02 8.31849e+10  -8.31826e+10 0.00000e+00 
2.58715e-02 8.49595e+10  -8.49571e+10 0.00000e+00 
2.60076e-02 8.67623e+10  -8.67599e+10 0.00000e+00 
2.61438e-02 8.85936e+10  -8.85912e+10 0.00000e+00 
2.62800e-02 9.04538e+10  -9.04514e+10 0.00000e+00 
2.64161e-02 9.23431e+10  -9.23407e+10 0.00000e+00 
2.65523e-02 9.42619e+10  -9.42594e+10 0.00000e+00 
2.66885e-02 9.62104e+10  -9.62079e+10 0.00000e+00 
2.68246e-02 9.81889e+10  -9.81864e+10 0.00000e+00 
2.69608e-02 1.00198e+11  -1.00195e+11 0.00000e+00 
2.70970e-02 1.02237e+11  -1.02235e+11 0.00000e+00 
2.72331e-02 1.04308e+11  -1.04305e+11 0.00000e+00 
2.73693e-02 1.06410e+11  -1.06407e+11 0.00000e+00 
2.75055e-02 1.08543e+11  -1.08541e+11 0.00000e+00 
2.76416e-02 1.10709e+11  -1.10706e+11 0.00000e+00 
2.77778e-02 1.12906e+11  -1.12904e+11 0.00000e+00 
2.79140e-02 1.15137e+11  -1.15134e+11 0.00000e+00 
2.80501e-02 1.17400e+11  -1.17397e+11 0.00000e+00 
2.81863e-02 1.19696e+11  -1.19693e+11 0.00000e+00 
2.83225e-02 1.22026e+11  -1.22023e+11 0.00000e+00 
2.84586e-02 1.24389e+11  -1.24387e+11 0.00000e+00 
2.85948e-02 1.26787e+11  -1.26784e+11 0.00000e+00 
2.87309e-02 1.29219e+11  -1.29217e+11 0.00000e+00 
2.88671e-02 1.31687e+11  -1.31684e+11 0.00000e+00 
2.90033e-02 1.34189e+11  -1.34186e+11 0.00000e+00 
2.91394e-02 1.36727e+11  -1.36724e+11 0.00000e+00 
2.92756e-02 1.39300e+11  -1.39297e+11 0.00000e+00 
2.94118e-02 1.41910e+11  -1.41907e+11 0.00000e+00 
2.95479e-02 1.44556e+11  -1.44553e+11 0.00000e+00 
2.96841e-02 1.47240e+11  -1.47236e+11 0.00000e+00 
2.98203e-02 1.49960e+11  -1.49957e+11 0.00000e+00 
2.99564e-02 1.52718e+11  -1.52715e+11 0.00000e+00 
3.00926e-02 1.55513e+11  -1.55510e+11 0.00000e+00 
3.02288e-02 1.58347e+11  -1.58344e+11 0.00000e+00 
3.03649e-02 1.61220e+11  -1.61216e+11 0.00000e+00 
3.05011e-02 1.64131e+11  -1.64128e+11 0.00000e+00 
3.06373e-02 1.67082e+11  -1.67078e+11 0.00000e+00 
3.07734e-02 1.70072e+11  -1.70069e+11 0.00000e+00 
3.09096e-02 1.73102e+11  -1.73099e+11 0.00000e+00 
3.10458e-02 1.76173e+11  -1.76169e+11 0.00000e+00 
3.11819e-02 1.79284e+11  -1.79280e+11 0.00000e+00 
3.13181e-02 1.82436e+11  -1.82432e+11 0.00000e+00 
3.14543e-02 1.85630e+11  -1.85626e+11 0.00000e+00 
3.15904e-02 1.88865e+11  -1.88861e+11 0.00000e+00 
3.17266e-02 1.92142e+11  -1.92139e+11 0.00000e+00 
3.18628e-02 1.95462e+11  -1.95459e+11 0.00000e+00 
3.19989e-02 1.98825e+11  -1.98821e+11 0.00000e+00 
3.21351e-02 2.02231e+11  -2.02227e+11 0.00000e+00 
3.22713e-02 2.05680e+11  -2.05677e+11 0.00000e+00 
3.24074e-02 2.09174e+11  -2.09170e+11 0.00000e+00 
3.25436e-02 2.12712e+11  -2.12708e+11 0.00000e+00 
3.26798e-02 2.16294e+11  -2.16290e+11 0.00000e+00 
3.28159e-02 2.19922e+11  -2.19918e+11 0.00000e+00 
3.29521e-02 2.23594e+11  -2.23591e+11 0.00000e+00 
3.30882e-02 2.27313e+11  -2.27309e+11 0.00000e+00 
3.32244e-02 2.31078e+11  -2.31074e+11 0.00000e+00 
3.33606e-02 2.34890e+11  -2.34886e+11 0.00000e+00 
3.34967e-02 2.38748e+11  -2.38744e+11 0.00000e+00 
3.36329e-02 2.42654e+11  -2.42650e+11 0.00000e+00 
3.37691e-02 2.46608e+11  -2.46604e+11 0.00000e+00 
