2.72331e-05 1.04307e-01  -2.80830e-21 0.00000e+00 
2.58715e-03 8.49589e+06  -8.49495e+06 0.00000e+00 
2.61438e-03 8.85930e+06  -8.85834e+06 0.00000e+00 
2.64161e-03 9.23425e+06  -9.23326e+06 0.00000e+00 
2.66885e-03 9.62097e+06  -9.61997e+06 0.00000e+00 
2.69608e-03 1.00197e+07  -1.00187e+07 0.00000e+00 
2.72331e-03 1.04307e+07  -1.04297e+07 0.00000e+00 
2.75055e-03 1.08543e+07  -1.08532e+07 0.00000e+00 
2.77778e-03 1.12906e+07  -1.12895e+07 0.00000e+00 
2.80501e-03 1.17399e+07  -1.17388e+07 0.00000e+00 
2.83225e-03 1.22025e+07  -1.22013e+07 0.00000e+00 
2.85948e-03 1.26786e+07  -1.26775e+07 0.00000e+00 
2.88671e-03 1.31686e+07  -1.31674e+07 0.00000e+00 
2.91395e-03 1.36726e+07  -1.36714e+07 0.00000e+00 
2.94118e-03 1.41909e+07  -1.41897e+07 0.00000e+00 
2.96841e-03 1.47238e+07  -1.47226e+07 0.00000e+00 
2.99564e-03 1.52716e+07  -1.52704e+07 0.00000e+00 
3.02288e-03 1.58346e+07  -1.58333e+07 0.00000e+00 
3.05011e-03 1.64130e+07  -1.64116e+07 0.00000e+00 
3.07734e-03 1.70070e+07  -1.70057e+07 0.00000e+00 
3.10458e-03 1.76171e+07  -1.76157e+07 0.00000e+00 
3.13181e-03 1.82434e+07  -1.82420e+07 0.00000e+00 
3.15904e-03 1.88863e+07  -1.88849e+07 0.00000e+00 
3.18628e-03 1.95460e+07  -1.95446e+07 0.00000e+00 
3.21351e-03 2.02229e+07  -2.02214e+07 0.00000e+00 
3.24074e-03 2.09172e+07  -2.09157e+07 0.00000e+00 
3.26798e-03 2.16292e+07  -2.16277e+07 0.00000e+00 
3.29521e-03 2.23592e+07  -2.23577e+07 0.00000e+00 
3.32244e-03 2.31076e+07  -2.31060e+07 0.00000e+00 
3.34968e-03 2.38746e+07  -2.38730e+07 0.00000e+00 
3.37691e-03 2.46605e+07  -2.46589e+07 0.00000e+00 
3.40414e-03 2.54657e+07  -2.54640e+07 0.00000e+00 
3.43138e-03 2.62904e+07  -2.62887e+07 0.00000e+00 
3.45861e-03 2.71350e+07  -2.71333e+07 0.00000e+00 
3.48584e-03 2.79998e+07  -2.79981e+07 0.00000e+00 
3.51307e-03 2.88851e+07  -2.88834e+07 0.00000e+00 
3.54031e-03 2.97912e+07  -2.97895e+07 0.00000e+00 
3.56754e-03 3.07185e+07  -3.07167e+07 0.00000e+00 
3.59477e-03 3.16673e+07  -3.16655e+07 0.00000e+00 
3.62201e-03 3.26378e+07  -3.26360e+07 0.00000e+00 
3.64924e-03 3.36306e+07  -3.36287e+07 0.00000e+00 
3.67647e-03 3.46458e+07  -3.46439e+07 0.00000e+00 
3.70371e-03 3.56838e+07  -3.56818e+07 0.00000e+00 
3.73094e-03 3.67449e+07  -3.67430e+07 0.00000e+00 
3.75817e-03 3.78296e+07  -3.78276e+07 0.00000e+00 
3.78541e-03 3.89381e+07  -3.89360e+07 0.00000e+00 
3.81264e-03 4.00707e+07  -4.00687e+07 0.00000e+00 
3.83987e-03 4.12279e+07  -4.12259e+07 0.00000e+00 
3.86711e-03 4.24100e+07  -4.24079e+07 0.00000e+00 
3.89434e-03 4.36173e+07  -4.36152e+07 0.00000e+00 
3.92157e-03 4.48503e+07  -4.48481e+07 0.00000e+00 
3.94881e-03 4.61092e+07  -4.61070e+07 0.00000e+00 
3.97604e-03 4.73943e+07  -4.73921e+07 0.00000e+00 
4.00327e-03 4.87062e+07  -4.87040e+07 0.00000e+00 
4.03051e-03 5.00452e+07  -5.00429e+07 0.00000e+00 
4.05774e-03 5.14115e+07  -5.14092e+07 0.00000e+00 
4.08497e-03 5.28056e+07  -5.28033e+07 0.00000e+00 
4.11220e-03 5.42279e+07  -5.42255e+07 0.00000e+00 
4.13944e-03 5.56788e+07  -5.56764e+07 0.00000e+00 
4.16667e-03 5.71585e+07  -5.71561e+07 0.00000e+00 
4.19390e-03 5.86676e+07  -5.86651e+07 0.00000e+00 
4.22114e-03 6.02063e+07  -6.02038e+07 0.00000e+00 
4.24837e-03 6.17751e+07  -6.17726e+07 0.00000e+00 
4.27560e-03 6.33744e+07  -6.33718e+07 0.00000e+00 
4.30284e-03 6.50045e+07  -6.50019e+07 0.00000e+00 
4.33007e-03 6.66659e+07  -6.66633e+07 0.00000e+00 
4.35730e-03 6.83589e+07  -6.83563e+07 0.00000e+00 
4.38454e-03 7.00840e+07  -7.00813e+07 0.00000e+00 
4.41177e-03 7.18415e+07  -7.18388e+07 0.00000e+00 
4.43900e-03 7.36319e+07  -7.36291e+07 0.00000e+00 
