0 0.0000000000e+00 0.0000000000e+00
1 3.9220713153e-02 9.7994598993e+00
2 7.6961041136e-02 1.9236018914e+01
3 1.1332868531e-01 2.8359026192e+01
4 1.4842000512e-01 3.7209121098e+01
5 1.8232155679e-01 4.5820069013e+01
6 2.1511137962e-01 5.4220147481e+01
7 2.4686007793e-01 6.2433208623e+01
8 2.7763173660e-01 7.0479503616e+01
9 3.0748469975e-01 7.8376329684e+01
10 3.3647223662e-01 8.6138542911e+01
11 3.6464311359e-01 9.3778968396e+01
12 3.9204208778e-01 1.0130873101e+02
13 4.1871033486e-01 1.0873752417e+02
14 4.4468582126e-01 1.1607382969e+02
15 4.7000362925e-01 1.2332509886e+02
16 4.9469624184e-01 1.3049790242e+02
17 5.1879379342e-01 1.3759805544e+02
18 5.4232429083e-01 1.4463072185e+02
19 5.6531380905e-01 1.5160050245e+02
20 5.8778666490e-01 1.5851150912e+02
