7.89937e-06 2.35382e-03  5.34786e-13 0.00000e+00 
7.50440e-04 1.98284e+08  -1.98235e+08 0.00000e+00 
7.58339e-04 2.11071e+08  -2.11020e+08 0.00000e+00 
7.66239e-04 2.24538e+08  -2.24485e+08 0.00000e+00 
7.74138e-04 2.38714e+08  -2.38659e+08 0.00000e+00 
7.82037e-04 2.53628e+08  -2.53570e+08 0.00000e+00 
7.89937e-04 2.69310e+08  -2.69250e+08 0.00000e+00 
7.97836e-04 2.85792e+08  -2.85730e+08 0.00000e+00 
8.05735e-04 3.03107e+08  -3.03042e+08 0.00000e+00 
8.13635e-04 3.21286e+08  -3.21219e+08 0.00000e+00 
8.21534e-04 3.40366e+08  -3.40296e+08 0.00000e+00 
8.29434e-04 3.60380e+08  -3.60307e+08 0.00000e+00 
8.37333e-04 3.81365e+08  -3.81290e+08 0.00000e+00 
8.45232e-04 4.03359e+08  -4.03281e+08 0.00000e+00 
8.53132e-04 4.26400e+08  -4.26319e+08 0.00000e+00 
8.61031e-04 4.50528e+08  -4.50443e+08 0.00000e+00 
8.68930e-04 4.75782e+08  -4.75695e+08 0.00000e+00 
8.76830e-04 5.02206e+08  -5.02115e+08 0.00000e+00 
8.84729e-04 5.29841e+08  -5.29747e+08 0.00000e+00 
8.92628e-04 5.58731e+08  -5.58634e+08 0.00000e+00 
9.00528e-04 5.88923e+08  -5.88822e+08 0.00000e+00 
9.08427e-04 6.20462e+08  -6.20358e+08 0.00000e+00 
9.16327e-04 6.53396e+08  -6.53288e+08 0.00000e+00 
9.24226e-04 6.87774e+08  -6.87662e+08 0.00000e+00 
9.32125e-04 7.23647e+08  -7.23531e+08 0.00000e+00 
9.40025e-04 7.61065e+08  -7.60945e+08 0.00000e+00 
9.47924e-04 8.00081e+08  -7.99957e+08 0.00000e+00 
9.55823e-04 8.40751e+08  -8.40623e+08 0.00000e+00 
9.63723e-04 8.83128e+08  -8.82996e+08 0.00000e+00 
9.71622e-04 9.27271e+08  -9.27134e+08 0.00000e+00 
9.79522e-04 9.73237e+08  -9.73096e+08 0.00000e+00 
9.87421e-04 1.02109e+09  -1.02094e+09 0.00000e+00 
9.95320e-04 1.07088e+09  -1.07073e+09 0.00000e+00 
1.00322e-03 1.12268e+09  -1.12253e+09 0.00000e+00 
1.01112e-03 1.17655e+09  -1.17639e+09 0.00000e+00 
