3.00180e-03 8.53364e+10  -8.53153e+10 0.00000e+00 
3.03339e-03 9.08393e+10  -9.08174e+10 0.00000e+00 
3.06499e-03 9.66348e+10  -9.66119e+10 0.00000e+00 
3.09659e-03 1.02735e+11  -1.02711e+11 0.00000e+00 
3.12819e-03 1.09153e+11  -1.09128e+11 0.00000e+00 
3.15978e-03 1.15902e+11  -1.15876e+11 0.00000e+00 
3.19138e-03 1.22995e+11  -1.22968e+11 0.00000e+00 
3.22298e-03 1.30445e+11  -1.30418e+11 0.00000e+00 
3.25458e-03 1.38269e+11  -1.38240e+11 0.00000e+00 
3.28618e-03 1.46479e+11  -1.46449e+11 0.00000e+00 
3.31777e-03 1.55092e+11  -1.55060e+11 0.00000e+00 
3.34937e-03 1.64122e+11  -1.64090e+11 0.00000e+00 
3.38097e-03 1.73587e+11  -1.73553e+11 0.00000e+00 
3.41257e-03 1.83502e+11  -1.83466e+11 0.00000e+00 
3.44417e-03 1.93884e+11  -1.93848e+11 0.00000e+00 
3.47576e-03 2.04751e+11  -2.04714e+11 0.00000e+00 
3.50736e-03 2.16122e+11  -2.16082e+11 0.00000e+00 
3.53896e-03 2.28013e+11  -2.27973e+11 0.00000e+00 
3.57056e-03 2.40445e+11  -2.40403e+11 0.00000e+00 
3.60215e-03 2.53437e+11  -2.53393e+11 0.00000e+00 
3.63375e-03 2.67008e+11  -2.66963e+11 0.00000e+00 
3.66535e-03 2.81179e+11  -2.81133e+11 0.00000e+00 
3.69695e-03 2.95972e+11  -2.95924e+11 0.00000e+00 
3.72855e-03 3.11408e+11  -3.11358e+11 0.00000e+00 
3.76014e-03 3.27509e+11  -3.27457e+11 0.00000e+00 
3.79174e-03 3.44297e+11  -3.44244e+11 0.00000e+00 
3.82334e-03 3.61797e+11  -3.61742e+11 0.00000e+00 
3.85494e-03 3.80031e+11  -3.79974e+11 0.00000e+00 
3.88654e-03 3.99025e+11  -3.98966e+11 0.00000e+00 
3.91813e-03 4.18804e+11  -4.18743e+11 0.00000e+00 
3.94973e-03 4.39392e+11  -4.39330e+11 0.00000e+00 
3.98133e-03 4.60818e+11  -4.60753e+11 0.00000e+00 
4.01293e-03 4.83106e+11  -4.83039e+11 0.00000e+00 
4.04452e-03 5.06286e+11  -5.06217e+11 0.00000e+00 
4.07612e-03 5.30386e+11  -5.30314e+11 0.00000e+00 
4.10772e-03 5.55433e+11  -5.55360e+11 0.00000e+00 
4.13932e-03 5.81459e+11  -5.81383e+11 0.00000e+00 
4.17092e-03 6.08493e+11  -6.08415e+11 0.00000e+00 
4.20251e-03 6.36566e+11  -6.36486e+11 0.00000e+00 
4.23411e-03 6.65711e+11  -6.65628e+11 0.00000e+00 
4.26571e-03 6.95958e+11  -6.95873e+11 0.00000e+00 
4.29731e-03 7.27343e+11  -7.27255e+11 0.00000e+00 
4.32891e-03 7.59898e+11  -7.59807e+11 0.00000e+00 
4.36050e-03 7.93658e+11  -7.93565e+11 0.00000e+00 
4.39210e-03 8.28658e+11  -8.28563e+11 0.00000e+00 
4.42370e-03 8.64936e+11  -8.64837e+11 0.00000e+00 
4.45530e-03 9.02527e+11  -9.02426e+11 0.00000e+00 
4.48689e-03 9.41470e+11  -9.41366e+11 0.00000e+00 
4.51849e-03 9.81803e+11  -9.81696e+11 0.00000e+00 
4.55009e-03 1.02357e+12  -1.02346e+12 0.00000e+00 
4.58169e-03 1.06680e+12  -1.06669e+12 0.00000e+00 
4.61329e-03 1.11154e+12  -1.11143e+12 0.00000e+00 
4.64488e-03 1.15784e+12  -1.15772e+12 0.00000e+00 
4.67648e-03 1.20573e+12  -1.20561e+12 0.00000e+00 
4.70808e-03 1.25526e+12  -1.25514e+12 0.00000e+00 
4.73968e-03 1.30648e+12  -1.30635e+12 0.00000e+00 
4.77127e-03 1.35942e+12  -1.35929e+12 0.00000e+00 
4.80287e-03 1.41414e+12  -1.41401e+12 0.00000e+00 
4.83447e-03 1.47069e+12  -1.47055e+12 0.00000e+00 
4.86607e-03 1.52910e+12  -1.52896e+12 0.00000e+00 
4.89767e-03 1.58944e+12  -1.58929e+12 0.00000e+00 
4.92926e-03 1.65174e+12  -1.65159e+12 0.00000e+00 
4.96086e-03 1.71607e+12  -1.71592e+12 0.00000e+00 
4.99246e-03 1.78248e+12  -1.78232e+12 0.00000e+00 
5.02406e-03 1.85101e+12  -1.85084e+12 0.00000e+00 
5.05566e-03 1.92172e+12  -1.92155e+12 0.00000e+00 
5.08725e-03 1.99467e+12  -1.99449e+12 0.00000e+00 
5.11885e-03 2.06991e+12  -2.06973e+12 0.00000e+00 
5.15045e-03 2.14750e+12  -2.14732e+12 0.00000e+00 
5.18205e-03 2.22750e+12  -2.22731e+12 0.00000e+00 
5.21364e-03 2.30997e+12  -2.30978e+12 0.00000e+00 
5.24524e-03 2.39496e+12  -2.39477e+12 0.00000e+00 
5.27684e-03 2.48255e+12  -2.48235e+12 0.00000e+00 
5.30844e-03 2.57279e+12  -2.57258e+12 0.00000e+00 
5.34004e-03 2.66574e+12  -2.66554e+12 0.00000e+00 
5.37163e-03 2.76148e+12  -2.76127e+12 0.00000e+00 
5.40323e-03 2.86007e+12  -2.85985e+12 0.00000e+00 
5.43483e-03 2.96157e+12  -2.96134e+12 0.00000e+00 
5.46643e-03 3.06605e+12  -3.06582e+12 0.00000e+00 
5.49803e-03 3.17359e+12  -3.17336e+12 0.00000e+00 
5.52962e-03 3.28425e+12  -3.28401e+12 0.00000e+00 
5.56122e-03 3.39811e+12  -3.39787e+12 0.00000e+00 
5.59282e-03 3.51524e+12  -3.51499e+12 0.00000e+00 
5.62442e-03 3.63572e+12  -3.63546e+12 0.00000e+00 
5.65601e-03 3.75961e+12  -3.75935e+12 0.00000e+00 
5.68761e-03 3.88701e+12  -3.88674e+12 0.00000e+00 
5.71921e-03 4.01798e+12  -4.01770e+12 0.00000e+00 
5.75081e-03 4.15260e+12  -4.15232e+12 0.00000e+00 
5.78241e-03 4.29097e+12  -4.29068e+12 0.00000e+00 
5.81400e-03 4.43315e+12  -4.43286e+12 0.00000e+00 
5.84560e-03 4.57924e+12  -4.57894e+12 0.00000e+00 
5.87720e-03 4.72932e+12  -4.72901e+12 0.00000e+00 
5.90880e-03 4.88348e+12  -4.88316e+12 0.00000e+00 
5.94040e-03 5.04179e+12  -5.04147e+12 0.00000e+00 
5.97199e-03 5.20437e+12  -5.20404e+12 0.00000e+00 
6.00359e-03 5.37128e+12  -5.37095e+12 0.00000e+00 
6.03519e-03 5.54264e+12  -5.54230e+12 0.00000e+00 
6.06679e-03 5.71852e+12  -5.71818e+12 0.00000e+00 
6.09838e-03 5.89903e+12  -5.89868e+12 0.00000e+00 
6.12998e-03 6.08427e+12  -6.08391e+12 0.00000e+00 
6.16158e-03 6.27432e+12  -6.27395e+12 0.00000e+00 
6.19318e-03 6.46930e+12  -6.46892e+12 0.00000e+00 
6.22478e-03 6.66930e+12  -6.66891e+12 0.00000e+00 
6.25637e-03 6.87442e+12  -6.87403e+12 0.00000e+00 
6.28797e-03 7.08477e+12  -7.08437e+12 0.00000e+00 
6.31957e-03 7.30046e+12  -7.30006e+12 0.00000e+00 
6.35117e-03 7.52160e+12  -7.52118e+12 0.00000e+00 
6.38277e-03 7.74828e+12  -7.74786e+12 0.00000e+00 
6.41436e-03 7.98064e+12  -7.98020e+12 0.00000e+00 
6.44596e-03 8.21876e+12  -8.21832e+12 0.00000e+00 
6.47756e-03 8.46278e+12  -8.46233e+12 0.00000e+00 
6.50916e-03 8.71281e+12  -8.71235e+12 0.00000e+00 
6.54075e-03 8.96896e+12  -8.96849e+12 0.00000e+00 
6.57235e-03 9.23135e+12  -9.23088e+12 0.00000e+00 
6.60395e-03 9.50011e+12  -9.49963e+12 0.00000e+00 
6.63555e-03 9.77536e+12  -9.77486e+12 0.00000e+00 
6.66715e-03 1.00572e+13  -1.00567e+13 0.00000e+00 
6.69874e-03 1.03458e+13  -1.03453e+13 0.00000e+00 
6.73034e-03 1.06413e+13  -1.06408e+13 0.00000e+00 
6.76194e-03 1.09438e+13  -1.09432e+13 0.00000e+00 
6.79354e-03 1.12533e+13  -1.12528e+13 0.00000e+00 
6.82514e-03 1.15702e+13  -1.15697e+13 0.00000e+00 
6.85673e-03 1.18945e+13  -1.18939e+13 0.00000e+00 
6.88833e-03 1.22263e+13  -1.22257e+13 0.00000e+00 
6.91993e-03 1.25657e+13  -1.25651e+13 0.00000e+00 
6.95153e-03 1.29130e+13  -1.29124e+13 0.00000e+00 
6.98312e-03 1.32683e+13  -1.32677e+13 0.00000e+00 
7.01472e-03 1.36316e+13  -1.36310e+13 0.00000e+00 
7.04632e-03 1.40032e+13  -1.40026e+13 0.00000e+00 
7.07792e-03 1.43832e+13  -1.43826e+13 0.00000e+00 
7.10952e-03 1.47718e+13  -1.47711e+13 0.00000e+00 
7.14111e-03 1.51691e+13  -1.51684e+13 0.00000e+00 
7.17271e-03 1.55752e+13  -1.55745e+13 0.00000e+00 
7.20431e-03 1.59904e+13  -1.59897e+13 0.00000e+00 
7.23591e-03 1.64147e+13  -1.64140e+13 0.00000e+00 
7.26750e-03 1.68484e+13  -1.68476e+13 0.00000e+00 
7.29910e-03 1.72915e+13  -1.72908e+13 0.00000e+00 
7.33070e-03 1.77444e+13  -1.77436e+13 0.00000e+00 
7.36230e-03 1.82071e+13  -1.82063e+13 0.00000e+00 
7.39390e-03 1.86798e+13  -1.86790e+13 0.00000e+00 
7.42549e-03 1.91626e+13  -1.91619e+13 0.00000e+00 
7.45709e-03 1.96559e+13  -1.96551e+13 0.00000e+00 
7.48869e-03 2.01596e+13  -2.01588e+13 0.00000e+00 
7.52029e-03 2.06741e+13  -2.06733e+13 0.00000e+00 
7.55189e-03 2.11995e+13  -2.11987e+13 0.00000e+00 
7.58348e-03 2.17359e+13  -2.17351e+13 0.00000e+00 
7.61508e-03 2.22836e+13  -2.22828e+13 0.00000e+00 
7.64668e-03 2.28428e+13  -2.28419e+13 0.00000e+00 
7.67828e-03 2.34136e+13  -2.34127e+13 0.00000e+00 
7.70987e-03 2.39962e+13  -2.39953e+13 0.00000e+00 
7.74147e-03 2.45909e+13  -2.45900e+13 0.00000e+00 
7.77307e-03 2.51978e+13  -2.51969e+13 0.00000e+00 
7.80467e-03 2.58171e+13  -2.58162e+13 0.00000e+00 
7.83627e-03 2.64491e+13  -2.64481e+13 0.00000e+00 
7.86786e-03 2.70939e+13  -2.70929e+13 0.00000e+00 
7.89946e-03 2.77517e+13  -2.77507e+13 0.00000e+00 
7.93106e-03 2.84228e+13  -2.84218e+13 0.00000e+00 
7.96266e-03 2.91074e+13  -2.91063e+13 0.00000e+00 
7.99426e-03 2.98056e+13  -2.98046e+13 0.00000e+00 
8.02585e-03 3.05177e+13  -3.05167e+13 0.00000e+00 
8.05745e-03 3.12440e+13  -3.12429e+13 0.00000e+00 
8.08905e-03 3.19846e+13  -3.19835e+13 0.00000e+00 
8.12065e-03 3.27398e+13  -3.27387e+13 0.00000e+00 
8.15224e-03 3.35098e+13  -3.35086e+13 0.00000e+00 
8.18384e-03 3.42948e+13  -3.42936e+13 0.00000e+00 
8.21544e-03 3.50950e+13  -3.50939e+13 0.00000e+00 
8.24704e-03 3.59108e+13  -3.59096e+13 0.00000e+00 
8.27864e-03 3.67423e+13  -3.67411e+13 0.00000e+00 
8.31023e-03 3.75898e+13  -3.75886e+13 0.00000e+00 
8.34183e-03 3.84535e+13  -3.84522e+13 0.00000e+00 
8.37343e-03 3.93336e+13  -3.93324e+13 0.00000e+00 
8.40503e-03 4.02305e+13  -4.02293e+13 0.00000e+00 
8.43663e-03 4.11444e+13  -4.11431e+13 0.00000e+00 
8.46822e-03 4.20755e+13  -4.20742e+13 0.00000e+00 
8.49982e-03 4.30241e+13  -4.30228e+13 0.00000e+00 
8.53142e-03 4.39905e+13  -4.39891e+13 0.00000e+00 
8.56302e-03 4.49748e+13  -4.49735e+13 0.00000e+00 
8.59461e-03 4.59775e+13  -4.59761e+13 0.00000e+00 
8.62621e-03 4.69987e+13  -4.69973e+13 0.00000e+00 
8.65781e-03 4.80387e+13  -4.80373e+13 0.00000e+00 
8.68941e-03 4.90978e+13  -4.90964e+13 0.00000e+00 
8.72101e-03 5.01764e+13  -5.01749e+13 0.00000e+00 
8.75260e-03 5.12745e+13  -5.12731e+13 0.00000e+00 
