1.29260e-02 1.13765e+10  -1.13752e+10 0.00000e+00 
1.30620e-02 1.18618e+10  -1.18605e+10 0.00000e+00 
1.31979e-02 1.23624e+10  -1.23611e+10 0.00000e+00 
1.33339e-02 1.28786e+10  -1.28773e+10 0.00000e+00 
1.34698e-02 1.34108e+10  -1.34095e+10 0.00000e+00 
1.36058e-02 1.39594e+10  -1.39580e+10 0.00000e+00 
1.37417e-02 1.45245e+10  -1.45231e+10 0.00000e+00 
1.38777e-02 1.51066e+10  -1.51052e+10 0.00000e+00 
1.40136e-02 1.57060e+10  -1.57046e+10 0.00000e+00 
1.41496e-02 1.63231e+10  -1.63216e+10 0.00000e+00 
1.42855e-02 1.69581e+10  -1.69565e+10 0.00000e+00 
1.44214e-02 1.76114e+10  -1.76098e+10 0.00000e+00 
1.45574e-02 1.82834e+10  -1.82818e+10 0.00000e+00 
1.46933e-02 1.89744e+10  -1.89727e+10 0.00000e+00 
1.48292e-02 1.96847e+10  -1.96831e+10 0.00000e+00 
1.49651e-02 2.04148e+10  -2.04131e+10 0.00000e+00 
1.51011e-02 2.11649e+10  -2.11632e+10 0.00000e+00 
1.52370e-02 2.19355e+10  -2.19338e+10 0.00000e+00 
1.53729e-02 2.27270e+10  -2.27252e+10 0.00000e+00 
1.55088e-02 2.35395e+10  -2.35377e+10 0.00000e+00 
1.56447e-02 2.43737e+10  -2.43719e+10 0.00000e+00 
1.57807e-02 2.52298e+10  -2.52279e+10 0.00000e+00 
1.59166e-02 2.61081e+10  -2.61063e+10 0.00000e+00 
1.60525e-02 2.70092e+10  -2.70073e+10 0.00000e+00 
1.61884e-02 2.79334e+10  -2.79314e+10 0.00000e+00 
1.63243e-02 2.88810e+10  -2.88790e+10 0.00000e+00 
1.64602e-02 2.98524e+10  -2.98504e+10 0.00000e+00 
1.65961e-02 3.08482e+10  -3.08461e+10 0.00000e+00 
1.67320e-02 3.18685e+10  -3.18664e+10 0.00000e+00 
1.68679e-02 3.29139e+10  -3.29118e+10 0.00000e+00 
1.70038e-02 3.39848e+10  -3.39826e+10 0.00000e+00 
1.71397e-02 3.50815e+10  -3.50793e+10 0.00000e+00 
1.72756e-02 3.62045e+10  -3.62023e+10 0.00000e+00 
1.74114e-02 3.73542e+10  -3.73520e+10 0.00000e+00 
1.75473e-02 3.85310e+10  -3.85287e+10 0.00000e+00 
1.76832e-02 3.97353e+10  -3.97330e+10 0.00000e+00 
1.78191e-02 4.09676e+10  -4.09652e+10 0.00000e+00 
1.79550e-02 4.22282e+10  -4.22258e+10 0.00000e+00 
1.80908e-02 4.35176e+10  -4.35152e+10 0.00000e+00 
1.82267e-02 4.48363e+10  -4.48338e+10 0.00000e+00 
1.83626e-02 4.61847e+10  -4.61821e+10 0.00000e+00 
1.84985e-02 4.75631e+10  -4.75606e+10 0.00000e+00 
1.86343e-02 4.89721e+10  -4.89695e+10 0.00000e+00 
1.87702e-02 5.04121e+10  -5.04095e+10 0.00000e+00 
1.89060e-02 5.18836e+10  -5.18809e+10 0.00000e+00 
1.90419e-02 5.33869e+10  -5.33842e+10 0.00000e+00 
1.91778e-02 5.49226e+10  -5.49199e+10 0.00000e+00 
1.93136e-02 5.64911e+10  -5.64883e+10 0.00000e+00 
1.94495e-02 5.80929e+10  -5.80901e+10 0.00000e+00 
1.95853e-02 5.97284e+10  -5.97255e+10 0.00000e+00 
1.97212e-02 6.13981e+10  -6.13952e+10 0.00000e+00 
1.98570e-02 6.31025e+10  -6.30996e+10 0.00000e+00 
1.99929e-02 6.48421e+10  -6.48391e+10 0.00000e+00 
2.01287e-02 6.66172e+10  -6.66142e+10 0.00000e+00 
2.02645e-02 6.84285e+10  -6.84254e+10 0.00000e+00 
2.04004e-02 7.02763e+10  -7.02732e+10 0.00000e+00 
2.05362e-02 7.21613e+10  -7.21581e+10 0.00000e+00 
2.06721e-02 7.40838e+10  -7.40806e+10 0.00000e+00 
2.08079e-02 7.60443e+10  -7.60411e+10 0.00000e+00 
2.09437e-02 7.80434e+10  -7.80401e+10 0.00000e+00 
2.10795e-02 8.00815e+10  -8.00782e+10 0.00000e+00 
2.12154e-02 8.21592e+10  -8.21559e+10 0.00000e+00 
2.13512e-02 8.42770e+10  -8.42736e+10 0.00000e+00 
2.14870e-02 8.64353e+10  -8.64318e+10 0.00000e+00 
2.16228e-02 8.86347e+10  -8.86312e+10 0.00000e+00 
2.17586e-02 9.08756e+10  -9.08721e+10 0.00000e+00 
2.18945e-02 9.31587e+10  -9.31551e+10 0.00000e+00 
2.20303e-02 9.54844e+10  -9.54808e+10 0.00000e+00 
2.21661e-02 9.78533e+10  -9.78496e+10 0.00000e+00 
2.23019e-02 1.00266e+11  -1.00262e+11 0.00000e+00 
2.24377e-02 1.02723e+11  -1.02719e+11 0.00000e+00 
2.25735e-02 1.05224e+11  -1.05220e+11 0.00000e+00 
2.27093e-02 1.07771e+11  -1.07767e+11 0.00000e+00 
2.28451e-02 1.10363e+11  -1.10359e+11 0.00000e+00 
2.29809e-02 1.13002e+11  -1.12998e+11 0.00000e+00 
2.31167e-02 1.15688e+11  -1.15684e+11 0.00000e+00 
2.32525e-02 1.18421e+11  -1.18417e+11 0.00000e+00 
2.33883e-02 1.21202e+11  -1.21198e+11 0.00000e+00 
2.35241e-02 1.24032e+11  -1.24028e+11 0.00000e+00 
2.36598e-02 1.26911e+11  -1.26907e+11 0.00000e+00 
2.37956e-02 1.29840e+11  -1.29836e+11 0.00000e+00 
2.39314e-02 1.32819e+11  -1.32814e+11 0.00000e+00 
2.40672e-02 1.35848e+11  -1.35844e+11 0.00000e+00 
2.42030e-02 1.38929e+11  -1.38925e+11 0.00000e+00 
2.43387e-02 1.42062e+11  -1.42058e+11 0.00000e+00 
2.44745e-02 1.45248e+11  -1.45243e+11 0.00000e+00 
2.46103e-02 1.48486e+11  -1.48482e+11 0.00000e+00 
2.47460e-02 1.51778e+11  -1.51774e+11 0.00000e+00 
2.48818e-02 1.55125e+11  -1.55120e+11 0.00000e+00 
2.50176e-02 1.58526e+11  -1.58522e+11 0.00000e+00 
2.51533e-02 1.61983e+11  -1.61978e+11 0.00000e+00 
2.52891e-02 1.65496e+11  -1.65491e+11 0.00000e+00 
2.54249e-02 1.69065e+11  -1.69061e+11 0.00000e+00 
2.55606e-02 1.72692e+11  -1.72687e+11 0.00000e+00 
2.56964e-02 1.76377e+11  -1.76372e+11 0.00000e+00 
2.58321e-02 1.80120e+11  -1.80115e+11 0.00000e+00 
2.59679e-02 1.83922e+11  -1.83917e+11 0.00000e+00 
2.61036e-02 1.87783e+11  -1.87778e+11 0.00000e+00 
2.62393e-02 1.91705e+11  -1.91700e+11 0.00000e+00 
2.63751e-02 1.95688e+11  -1.95683e+11 0.00000e+00 
2.65108e-02 1.99733e+11  -1.99727e+11 0.00000e+00 
2.66466e-02 2.03839e+11  -2.03834e+11 0.00000e+00 
2.67823e-02 2.08009e+11  -2.08003e+11 0.00000e+00 
2.69180e-02 2.12241e+11  -2.12236e+11 0.00000e+00 
2.70538e-02 2.16538e+11  -2.16533e+11 0.00000e+00 
2.71895e-02 2.20900e+11  -2.20894e+11 0.00000e+00 
2.73252e-02 2.25326e+11  -2.25321e+11 0.00000e+00 
2.74609e-02 2.29819e+11  -2.29814e+11 0.00000e+00 
2.75967e-02 2.34379e+11  -2.34373e+11 0.00000e+00 
2.77324e-02 2.39005e+11  -2.39000e+11 0.00000e+00 
2.78681e-02 2.43700e+11  -2.43694e+11 0.00000e+00 
2.80038e-02 2.48463e+11  -2.48457e+11 0.00000e+00 
2.81395e-02 2.53295e+11  -2.53289e+11 0.00000e+00 
2.82752e-02 2.58197e+11  -2.58192e+11 0.00000e+00 
2.84109e-02 2.63170e+11  -2.63164e+11 0.00000e+00 
2.85467e-02 2.68214e+11  -2.68208e+11 0.00000e+00 
2.86824e-02 2.73330e+11  -2.73324e+11 0.00000e+00 
2.88181e-02 2.78518e+11  -2.78512e+11 0.00000e+00 
2.89538e-02 2.83780e+11  -2.83774e+11 0.00000e+00 
2.90895e-02 2.89116e+11  -2.89109e+11 0.00000e+00 
2.92252e-02 2.94526e+11  -2.94520e+11 0.00000e+00 
2.93608e-02 3.00011e+11  -3.00005e+11 0.00000e+00 
2.94965e-02 3.05573e+11  -3.05566e+11 0.00000e+00 
2.96322e-02 3.11211e+11  -3.11204e+11 0.00000e+00 
2.97679e-02 3.16926e+11  -3.16920e+11 0.00000e+00 
2.99036e-02 3.22720e+11  -3.22713e+11 0.00000e+00 
3.00393e-02 3.28592e+11  -3.28585e+11 0.00000e+00 
3.01750e-02 3.34544e+11  -3.34537e+11 0.00000e+00 
3.03106e-02 3.40576e+11  -3.40569e+11 0.00000e+00 
3.04463e-02 3.46688e+11  -3.46682e+11 0.00000e+00 
3.05820e-02 3.52883e+11  -3.52876e+11 0.00000e+00 
3.07177e-02 3.59159e+11  -3.59152e+11 0.00000e+00 
3.08533e-02 3.65519e+11  -3.65512e+11 0.00000e+00 
3.09890e-02 3.71962e+11  -3.71955e+11 0.00000e+00 
3.11247e-02 3.78490e+11  -3.78483e+11 0.00000e+00 
3.12603e-02 3.85103e+11  -3.85096e+11 0.00000e+00 
3.13960e-02 3.91802e+11  -3.91795e+11 0.00000e+00 
3.15316e-02 3.98588e+11  -3.98581e+11 0.00000e+00 
3.16673e-02 4.05461e+11  -4.05454e+11 0.00000e+00 
3.18029e-02 4.12422e+11  -4.12415e+11 0.00000e+00 
3.19386e-02 4.19472e+11  -4.19465e+11 0.00000e+00 
3.20742e-02 4.26612e+11  -4.26604e+11 0.00000e+00 
3.22099e-02 4.33842e+11  -4.33834e+11 0.00000e+00 
3.23455e-02 4.41163e+11  -4.41155e+11 0.00000e+00 
3.24812e-02 4.48576e+11  -4.48568e+11 0.00000e+00 
3.26168e-02 4.56082e+11  -4.56074e+11 0.00000e+00 
3.27525e-02 4.63681e+11  -4.63673e+11 0.00000e+00 
3.28881e-02 4.71374e+11  -4.71366e+11 0.00000e+00 
3.30237e-02 4.79162e+11  -4.79154e+11 0.00000e+00 
3.31594e-02 4.87046e+11  -4.87038e+11 0.00000e+00 
3.32950e-02 4.95026e+11  -4.95018e+11 0.00000e+00 
3.34306e-02 5.03104e+11  -5.03096e+11 0.00000e+00 
3.35662e-02 5.11279e+11  -5.11271e+11 0.00000e+00 
3.37019e-02 5.19554e+11  -5.19545e+11 0.00000e+00 
3.38375e-02 5.27928e+11  -5.27919e+11 0.00000e+00 
3.39731e-02 5.36402e+11  -5.36394e+11 0.00000e+00 
3.41087e-02 5.44977e+11  -5.44969e+11 0.00000e+00 
3.42443e-02 5.53655e+11  -5.53646e+11 0.00000e+00 
3.43800e-02 5.62435e+11  -5.62426e+11 0.00000e+00 
3.45156e-02 5.71319e+11  -5.71310e+11 0.00000e+00 
3.46512e-02 5.80307e+11  -5.80298e+11 0.00000e+00 
3.47868e-02 5.89400e+11  -5.89391e+11 0.00000e+00 
3.49224e-02 5.98599e+11  -5.98590e+11 0.00000e+00 
3.50580e-02 6.07905e+11  -6.07896e+11 0.00000e+00 
3.51936e-02 6.17318e+11  -6.17309e+11 0.00000e+00 
3.53292e-02 6.26840e+11  -6.26831e+11 0.00000e+00 
3.54648e-02 6.36471e+11  -6.36462e+11 0.00000e+00 
3.56004e-02 6.46212e+11  -6.46203e+11 0.00000e+00 
3.57360e-02 6.56064e+11  -6.56055e+11 0.00000e+00 
3.58715e-02 6.66028e+11  -6.66019e+11 0.00000e+00 
3.60071e-02 6.76104e+11  -6.76095e+11 0.00000e+00 
3.61427e-02 6.86294e+11  -6.86284e+11 0.00000e+00 
3.62783e-02 6.96598e+11  -6.96588e+11 0.00000e+00 
3.64139e-02 7.07016e+11  -7.07007e+11 0.00000e+00 
3.65495e-02 7.17551e+11  -7.17541e+11 0.00000e+00 
3.66850e-02 7.28203e+11  -7.28193e+11 0.00000e+00 
3.68206e-02 7.38971e+11  -7.38962e+11 0.00000e+00 
3.69562e-02 7.49859e+11  -7.49849e+11 0.00000e+00 
3.70917e-02 7.60866e+11  -7.60855e+11 0.00000e+00 
3.72273e-02 7.71992e+11  -7.71982e+11 0.00000e+00 
3.73629e-02 7.83240e+11  -7.83230e+11 0.00000e+00 
3.74984e-02 7.94610e+11  -7.94600e+11 0.00000e+00 
3.76340e-02 8.06102e+11  -8.06092e+11 0.00000e+00 
3.77696e-02 8.17718e+11  -8.17708e+11 0.00000e+00 
3.79051e-02 8.29459e+11  -8.29448e+11 0.00000e+00 
3.80407e-02 8.41324e+11  -8.41314e+11 0.00000e+00 
3.81762e-02 8.53316e+11  -8.53306e+11 0.00000e+00 
3.83118e-02 8.65435e+11  -8.65425e+11 0.00000e+00 
3.84473e-02 8.77683e+11  -8.77672e+11 0.00000e+00 
3.85829e-02 8.90058e+11  -8.90048e+11 0.00000e+00 
3.87184e-02 9.02564e+11  -9.02553e+11 0.00000e+00 
3.88539e-02 9.15201e+11  -9.15189e+11 0.00000e+00 
3.89895e-02 9.27968e+11  -9.27957e+11 0.00000e+00 
3.91250e-02 9.40869e+11  -9.40858e+11 0.00000e+00 
3.92605e-02 9.53902e+11  -9.53891e+11 0.00000e+00 
3.93961e-02 9.67070e+11  -9.67059e+11 0.00000e+00 
3.95316e-02 9.80373e+11  -9.80362e+11 0.00000e+00 
3.96671e-02 9.93813e+11  -9.93801e+11 0.00000e+00 
3.98027e-02 1.00739e+12  -1.00738e+12 0.00000e+00 
3.99382e-02 1.02110e+12  -1.02109e+12 0.00000e+00 
4.00737e-02 1.03496e+12  -1.03494e+12 0.00000e+00 
4.02092e-02 1.04895e+12  -1.04894e+12 0.00000e+00 
4.03447e-02 1.06308e+12  -1.06307e+12 0.00000e+00 
4.04803e-02 1.07736e+12  -1.07734e+12 0.00000e+00 
4.06158e-02 1.09177e+12  -1.09176e+12 0.00000e+00 
4.07513e-02 1.10633e+12  -1.10632e+12 0.00000e+00 
4.08868e-02 1.12104e+12  -1.12103e+12 0.00000e+00 
4.10223e-02 1.13589e+12  -1.13588e+12 0.00000e+00 
4.11578e-02 1.15089e+12  -1.15087e+12 0.00000e+00 
4.12933e-02 1.16603e+12  -1.16602e+12 0.00000e+00 
4.14288e-02 1.18132e+12  -1.18131e+12 0.00000e+00 
4.15643e-02 1.19676e+12  -1.19675e+12 0.00000e+00 
4.16998e-02 1.21235e+12  -1.21234e+12 0.00000e+00 
4.18353e-02 1.22810e+12  -1.22808e+12 0.00000e+00 
4.19708e-02 1.24399e+12  -1.24398e+12 0.00000e+00 
4.21063e-02 1.26004e+12  -1.26003e+12 0.00000e+00 
4.22417e-02 1.27624e+12  -1.27623e+12 0.00000e+00 
4.23772e-02 1.29260e+12  -1.29258e+12 0.00000e+00 
4.25127e-02 1.30911e+12  -1.30909e+12 0.00000e+00 
4.26482e-02 1.32578e+12  -1.32576e+12 0.00000e+00 
4.27837e-02 1.34260e+12  -1.34259e+12 0.00000e+00 
4.29191e-02 1.35959e+12  -1.35957e+12 0.00000e+00 
4.30546e-02 1.37673e+12  -1.37672e+12 0.00000e+00 
4.31901e-02 1.39404e+12  -1.39402e+12 0.00000e+00 
4.33256e-02 1.41150e+12  -1.41149e+12 0.00000e+00 
4.34610e-02 1.42913e+12  -1.42912e+12 0.00000e+00 
4.35965e-02 1.44693e+12  -1.44691e+12 0.00000e+00 
4.37319e-02 1.46489e+12  -1.46487e+12 0.00000e+00 
4.38674e-02 1.48301e+12  -1.48300e+12 0.00000e+00 
4.40029e-02 1.50130e+12  -1.50129e+12 0.00000e+00 
4.41383e-02 1.51976e+12  -1.51975e+12 0.00000e+00 
4.42738e-02 1.53839e+12  -1.53837e+12 0.00000e+00 
4.44092e-02 1.55718e+12  -1.55717e+12 0.00000e+00 
4.45447e-02 1.57615e+12  -1.57614e+12 0.00000e+00 
4.46801e-02 1.59529e+12  -1.59528e+12 0.00000e+00 
4.48156e-02 1.61460e+12  -1.61459e+12 0.00000e+00 
4.49510e-02 1.63409e+12  -1.63407e+12 0.00000e+00 
4.50864e-02 1.65375e+12  -1.65373e+12 0.00000e+00 
4.52219e-02 1.67359e+12  -1.67357e+12 0.00000e+00 
4.53573e-02 1.69360e+12  -1.69358e+12 0.00000e+00 
4.54928e-02 1.71379e+12  -1.71377e+12 0.00000e+00 
4.56282e-02 1.73416e+12  -1.73414e+12 0.00000e+00 
