2.58058e-03 6.28218e+04  -6.25735e+04 0.00000e+00 
2.60773e-03 5.67715e+04  -5.65788e+04 0.00000e+00 
2.63490e-03 5.20145e+04  -5.18711e+04 0.00000e+00 
2.66208e-03 4.78710e+04  -4.77650e+04 0.00000e+00 
2.68926e-03 4.38714e+04  -4.37871e+04 0.00000e+00 
2.71644e-03 3.98152e+04  -3.97348e+04 0.00000e+00 
2.74361e-03 3.57985e+04  -3.57050e+04 0.00000e+00 
2.77078e-03 3.21967e+04  -3.20756e+04 0.00000e+00 
2.79793e-03 2.96073e+04  -2.94480e+04 0.00000e+00 
2.82509e-03 2.87717e+04  -2.85673e+04 0.00000e+00 
2.85224e-03 3.04912e+04  -3.02380e+04 0.00000e+00 
2.87939e-03 3.55569e+04  -3.52526e+04 0.00000e+00 
2.90655e-03 4.46987e+04  -4.43415e+04 0.00000e+00 
2.93371e-03 5.85545e+04  -5.81427e+04 0.00000e+00 
2.96088e-03 7.76506e+04  -7.71831e+04 0.00000e+00 
2.98806e-03 1.02379e+05  -1.01857e+05 0.00000e+00 
3.01525e-03 1.32958e+05  -1.32386e+05 0.00000e+00 
3.04246e-03 1.69374e+05  -1.68764e+05 0.00000e+00 
3.06968e-03 2.11276e+05  -2.10645e+05 0.00000e+00 
3.09689e-03 2.57939e+05  -2.57309e+05 0.00000e+00 
3.12409e-03 3.08222e+05  -3.07620e+05 0.00000e+00 
3.15128e-03 3.60556e+05  -3.60005e+05 0.00000e+00 
3.17844e-03 4.13005e+05  -4.12528e+05 0.00000e+00 
3.20560e-03 4.63395e+05  -4.63003e+05 0.00000e+00 
3.23274e-03 5.09478e+05  -5.09173e+05 0.00000e+00 
3.25987e-03 5.49140e+05  -5.48913e+05 0.00000e+00 
3.28699e-03 5.80591e+05  -5.80425e+05 0.00000e+00 
3.31411e-03 6.02536e+05  -6.02406e+05 0.00000e+00 
3.34122e-03 6.14270e+05  -6.14151e+05 0.00000e+00 
3.36833e-03 6.15709e+05  -6.15577e+05 0.00000e+00 
3.39543e-03 6.07343e+05  -6.07181e+05 0.00000e+00 
3.42254e-03 5.90135e+05  -5.89929e+05 0.00000e+00 
3.44965e-03 5.65371e+05  -5.65120e+05 0.00000e+00 
3.47677e-03 5.34520e+05  -5.34224e+05 0.00000e+00 
3.50390e-03 4.99091e+05  -4.98757e+05 0.00000e+00 
3.53103e-03 4.60538e+05  -4.60173e+05 0.00000e+00 
3.55817e-03 4.20190e+05  -4.19801e+05 0.00000e+00 
3.58532e-03 3.79229e+05  -3.78822e+05 0.00000e+00 
3.61249e-03 3.38686e+05  -3.38266e+05 0.00000e+00 
3.63967e-03 2.99476e+05  -2.99045e+05 0.00000e+00 
3.66685e-03 2.62386e+05  -2.61947e+05 0.00000e+00 
3.69401e-03 2.28026e+05  -2.27583e+05 0.00000e+00 
3.72115e-03 1.96856e+05  -1.96413e+05 0.00000e+00 
3.74828e-03 1.69174e+05  -1.68740e+05 0.00000e+00 
3.77539e-03 1.45114e+05  -1.44695e+05 0.00000e+00 
3.80248e-03 1.24632e+05  -1.24237e+05 0.00000e+00 
3.82956e-03 1.07531e+05  -1.07167e+05 0.00000e+00 
3.85663e-03 9.34959e+04  -9.31658e+04 0.00000e+00 
3.88370e-03 8.21518e+04  -8.18579e+04 0.00000e+00 
3.91076e-03 7.31206e+04  -7.28616e+04 0.00000e+00 
3.93782e-03 6.60675e+04  -6.58402e+04 0.00000e+00 
3.96489e-03 6.07363e+04  -6.05358e+04 0.00000e+00 
3.99196e-03 5.69586e+04  -5.67797e+04 0.00000e+00 
4.01901e-03 5.46499e+04  -5.44871e+04 0.00000e+00 
4.04607e-03 5.37978e+04  -5.36456e+04 0.00000e+00 
4.07312e-03 5.44452e+04  -5.42976e+04 0.00000e+00 
4.10018e-03 5.66750e+04  -5.65251e+04 0.00000e+00 
4.12725e-03 6.06012e+04  -6.04414e+04 0.00000e+00 
4.15433e-03 6.63654e+04  -6.61877e+04 0.00000e+00 
4.18143e-03 7.41318e+04  -7.39283e+04 0.00000e+00 
4.20855e-03 8.40777e+04  -8.38421e+04 0.00000e+00 
4.23569e-03 9.63756e+04  -9.61037e+04 0.00000e+00 
4.26286e-03 1.11167e+05  -1.10858e+05 0.00000e+00 
4.29006e-03 1.28533e+05  -1.28189e+05 0.00000e+00 
4.31728e-03 1.48434e+05  -1.48060e+05 0.00000e+00 
4.34448e-03 1.70740e+05  -1.70344e+05 0.00000e+00 
4.37166e-03 1.95193e+05  -1.94784e+05 0.00000e+00 
4.39881e-03 2.21429e+05  -2.21015e+05 0.00000e+00 
4.42594e-03 2.48990e+05  -2.48579e+05 0.00000e+00 
4.45304e-03 2.77352e+05  -2.76952e+05 0.00000e+00 
4.48013e-03 3.05957e+05  -3.05574e+05 0.00000e+00 
4.50721e-03 3.34233e+05  -3.33873e+05 0.00000e+00 
4.53428e-03 3.61615e+05  -3.61281e+05 0.00000e+00 
4.56134e-03 3.87545e+05  -3.87243e+05 0.00000e+00 
4.58839e-03 4.11483e+05  -4.11215e+05 0.00000e+00 
4.61545e-03 4.32900e+05  -4.32668e+05 0.00000e+00 
4.64251e-03 4.51288e+05  -4.51092e+05 0.00000e+00 
4.66958e-03 4.66173e+05  -4.66010e+05 0.00000e+00 
4.69666e-03 4.77142e+05  -4.77006e+05 0.00000e+00 
4.72374e-03 4.83871e+05  -4.83752e+05 0.00000e+00 
4.75084e-03 4.86165e+05  -4.86052e+05 0.00000e+00 
4.77796e-03 4.83981e+05  -4.83861e+05 0.00000e+00 
4.80509e-03 4.77447e+05  -4.77306e+05 0.00000e+00 
4.83224e-03 4.66848e+05  -4.66676e+05 0.00000e+00 
4.85940e-03 4.52609e+05  -4.52398e+05 0.00000e+00 
4.88659e-03 4.35263e+05  -4.35009e+05 0.00000e+00 
4.91377e-03 4.15403e+05  -4.15107e+05 0.00000e+00 
4.94094e-03 3.93585e+05  -3.93253e+05 0.00000e+00 
4.96808e-03 3.70309e+05  -3.69947e+05 0.00000e+00 
4.99520e-03 3.45997e+05  -3.45613e+05 0.00000e+00 
5.02231e-03 3.20999e+05  -3.20603e+05 0.00000e+00 
5.04940e-03 2.95606e+05  -2.95205e+05 0.00000e+00 
5.07648e-03 2.70079e+05  -2.69678e+05 0.00000e+00 
5.10356e-03 2.44671e+05  -2.44275e+05 0.00000e+00 
5.13062e-03 2.19659e+05  -2.19272e+05 0.00000e+00 
5.15769e-03 1.95346e+05  -1.94971e+05 0.00000e+00 
5.18476e-03 1.72059e+05  -1.71700e+05 0.00000e+00 
5.21182e-03 1.50127e+05  -1.49788e+05 0.00000e+00 
5.23890e-03 1.29854e+05  -1.29540e+05 0.00000e+00 
5.26598e-03 1.11490e+05  -1.11205e+05 0.00000e+00 
5.29307e-03 9.52116e+04  -9.49588e+04 0.00000e+00 
5.32017e-03 8.11131e+04  -8.08936e+04 0.00000e+00 
5.34728e-03 6.92106e+04  -6.90226e+04 0.00000e+00 
5.37438e-03 5.94695e+04  -5.93083e+04 0.00000e+00 
5.40149e-03 5.18388e+04  -5.16965e+04 0.00000e+00 
5.42862e-03 4.62841e+04  -4.61508e+04 0.00000e+00 
5.45575e-03 4.28173e+04  -4.26818e+04 0.00000e+00 
5.48289e-03 4.15142e+04  -4.13651e+04 0.00000e+00 
5.51004e-03 4.25192e+04  -4.23463e+04 0.00000e+00 
5.53720e-03 4.60365e+04  -4.58316e+04 0.00000e+00 
5.56438e-03 5.23098e+04  -5.20672e+04 0.00000e+00 
5.59157e-03 6.15943e+04  -6.13113e+04 0.00000e+00 
5.61877e-03 7.41255e+04  -7.38024e+04 0.00000e+00 
5.64598e-03 9.00869e+04  -8.97266e+04 0.00000e+00 
5.67321e-03 1.09568e+05  -1.09176e+05 0.00000e+00 
5.70042e-03 1.32567e+05  -1.32151e+05 0.00000e+00 
5.72762e-03 1.58955e+05  -1.58524e+05 0.00000e+00 
5.75480e-03 1.88469e+05  -1.88032e+05 0.00000e+00 
5.78197e-03 2.20702e+05  -2.20270e+05 0.00000e+00 
5.80913e-03 2.55100e+05  -2.54683e+05 0.00000e+00 
5.83627e-03 2.90968e+05  -2.90576e+05 0.00000e+00 
5.86341e-03 3.27487e+05  -3.27127e+05 0.00000e+00 
5.89053e-03 3.63736e+05  -3.63414e+05 0.00000e+00 
5.91764e-03 3.98727e+05  -3.98446e+05 0.00000e+00 
5.94474e-03 4.31450e+05  -4.31209e+05 0.00000e+00 
5.97183e-03 4.60914e+05  -4.60711e+05 0.00000e+00 
5.99892e-03 4.86200e+05  -4.86028e+05 0.00000e+00 
6.02600e-03 5.06494e+05  -5.06347e+05 0.00000e+00 
6.05309e-03 5.21136e+05  -5.21003e+05 0.00000e+00 
6.08017e-03 5.29643e+05  -5.29513e+05 0.00000e+00 
6.10725e-03 5.31736e+05  -5.31600e+05 0.00000e+00 
6.13434e-03 5.27354e+05  -5.27201e+05 0.00000e+00 
6.16144e-03 5.16660e+05  -5.16480e+05 0.00000e+00 
6.18855e-03 5.00032e+05  -4.99818e+05 0.00000e+00 
6.21567e-03 4.78057e+05  -4.77803e+05 0.00000e+00 
6.24281e-03 4.51506e+05  -4.51208e+05 0.00000e+00 
6.26997e-03 4.21297e+05  -4.20955e+05 0.00000e+00 
6.29715e-03 3.88484e+05  -3.88100e+05 0.00000e+00 
6.32434e-03 3.54196e+05  -3.53776e+05 0.00000e+00 
6.35151e-03 3.19514e+05  -3.19067e+05 0.00000e+00 
6.37866e-03 2.85435e+05  -2.84972e+05 0.00000e+00 
6.40580e-03 2.52837e+05  -2.52370e+05 0.00000e+00 
6.43292e-03 2.22432e+05  -2.21973e+05 0.00000e+00 
6.46003e-03 1.94739e+05  -1.94301e+05 0.00000e+00 
6.48713e-03 1.70081e+05  -1.69675e+05 0.00000e+00 
6.51422e-03 1.48590e+05  -1.48223e+05 0.00000e+00 
6.54130e-03 1.30236e+05  -1.29912e+05 0.00000e+00 
6.56837e-03 1.14862e+05  -1.14581e+05 0.00000e+00 
6.59544e-03 1.02225e+05  -1.01984e+05 0.00000e+00 
6.62250e-03 9.20457e+04  -9.18387e+04 0.00000e+00 
6.64956e-03 8.40473e+04  -8.38663e+04 0.00000e+00 
6.67662e-03 7.79913e+04  -7.78273e+04 0.00000e+00 
6.70367e-03 7.36948e+04  -7.35385e+04 0.00000e+00 
6.73073e-03 7.10378e+04  -7.08808e+04 0.00000e+00 
6.75780e-03 6.99620e+04  -6.97967e+04 0.00000e+00 
6.78488e-03 7.04629e+04  -7.02831e+04 0.00000e+00 
6.81197e-03 7.25791e+04  -7.23801e+04 0.00000e+00 
6.83907e-03 7.63809e+04  -7.61593e+04 0.00000e+00 
6.86620e-03 8.19592e+04  -8.17128e+04 0.00000e+00 
6.89334e-03 8.94157e+04  -8.91435e+04 0.00000e+00 
6.92050e-03 9.88539e+04  -9.85561e+04 0.00000e+00 
6.94768e-03 1.10370e+05  -1.10048e+05 0.00000e+00 
6.97489e-03 1.24041e+05  -1.23697e+05 0.00000e+00 
7.00212e-03 1.39898e+05  -1.39534e+05 0.00000e+00 
7.02932e-03 1.57938e+05  -1.57560e+05 0.00000e+00 
7.05650e-03 1.78099e+05  -1.77712e+05 0.00000e+00 
7.08365e-03 2.00243e+05  -1.99853e+05 0.00000e+00 
7.11079e-03 2.24145e+05  -2.23759e+05 0.00000e+00 
7.13790e-03 2.49486e+05  -2.49112e+05 0.00000e+00 
7.16499e-03 2.75851e+05  -2.75493e+05 0.00000e+00 
7.19206e-03 3.02729e+05  -3.02395e+05 0.00000e+00 
7.21912e-03 3.29537e+05  -3.29232e+05 0.00000e+00 
7.24617e-03 3.55629e+05  -3.55354e+05 0.00000e+00 
7.27321e-03 3.80313e+05  -3.80072e+05 0.00000e+00 
7.30024e-03 4.02889e+05  -4.02680e+05 0.00000e+00 
7.32728e-03 4.22669e+05  -4.22491e+05 0.00000e+00 
7.35431e-03 4.39019e+05  -4.38867e+05 0.00000e+00 
7.38135e-03 4.51391e+05  -4.51259e+05 0.00000e+00 
7.40840e-03 4.59349e+05  -4.59230e+05 0.00000e+00 
7.43546e-03 4.62602e+05  -4.62488e+05 0.00000e+00 
7.46254e-03 4.61021e+05  -4.60903e+05 0.00000e+00 
7.48964e-03 4.54650e+05  -4.54520e+05 0.00000e+00 
7.51676e-03 4.43715e+05  -4.43564e+05 0.00000e+00 
7.54390e-03 4.28611e+05  -4.28433e+05 0.00000e+00 
7.57107e-03 4.09890e+05  -4.09679e+05 0.00000e+00 
7.59827e-03 3.88282e+05  -3.88036e+05 0.00000e+00 
7.62545e-03 3.64586e+05  -3.64304e+05 0.00000e+00 
7.65260e-03 3.39616e+05  -3.39301e+05 0.00000e+00 
7.67973e-03 3.14188e+05  -3.13843e+05 0.00000e+00 
7.70683e-03 2.89070e+05  -2.88701e+05 0.00000e+00 
7.73391e-03 2.64951e+05  -2.64566e+05 0.00000e+00 
7.76098e-03 2.42406e+05  -2.42014e+05 0.00000e+00 
7.78803e-03 2.21876e+05  -2.21486e+05 0.00000e+00 
7.81508e-03 2.03648e+05  -2.03268e+05 0.00000e+00 
7.84211e-03 1.87853e+05  -1.87493e+05 0.00000e+00 
7.86914e-03 1.74471e+05  -1.74138e+05 0.00000e+00 
7.89617e-03 1.63342e+05  -1.63042e+05 0.00000e+00 
7.92320e-03 1.54192e+05  -1.53929e+05 0.00000e+00 
7.95024e-03 1.46658e+05  -1.46434e+05 0.00000e+00 
7.97729e-03 1.40328e+05  -1.40141e+05 0.00000e+00 
8.00435e-03 1.34776e+05  -1.34624e+05 0.00000e+00 
8.03142e-03 1.29607e+05  -1.29484e+05 0.00000e+00 
8.05850e-03 1.24489e+05  -1.24387e+05 0.00000e+00 
8.08559e-03 1.19194e+05  -1.19105e+05 0.00000e+00 
8.11270e-03 1.13623e+05  -1.13536e+05 0.00000e+00 
8.13982e-03 1.07823e+05  -1.07728e+05 0.00000e+00 
8.16697e-03 1.01990e+05  -1.01877e+05 0.00000e+00 
8.19413e-03 9.64677e+04  -9.63278e+04 0.00000e+00 
8.22131e-03 9.17214e+04  -9.15474e+04 0.00000e+00 
8.24852e-03 8.83090e+04  -8.80959e+04 0.00000e+00 
8.27575e-03 8.68466e+04  -8.65922e+04 0.00000e+00 
8.30296e-03 8.79411e+04  -8.76456e+04 0.00000e+00 
8.33014e-03 9.21479e+04  -9.18142e+04 0.00000e+00 
8.35730e-03 9.99361e+04  -9.95690e+04 0.00000e+00 
8.38445e-03 1.11648e+05  -1.11254e+05 0.00000e+00 
8.41157e-03 1.27468e+05  -1.27056e+05 0.00000e+00 
8.43868e-03 1.47403e+05  -1.46982e+05 0.00000e+00 
8.46577e-03 1.71266e+05  -1.70846e+05 0.00000e+00 
8.49286e-03 1.98675e+05  -1.98265e+05 0.00000e+00 
8.51993e-03 2.29054e+05  -2.28663e+05 0.00000e+00 
8.54700e-03 2.61653e+05  -2.61291e+05 0.00000e+00 
8.57406e-03 2.95569e+05  -2.95241e+05 0.00000e+00 
8.60113e-03 3.29776e+05  -3.29488e+05 0.00000e+00 
8.62820e-03 3.63169e+05  -3.62924e+05 0.00000e+00 
8.65527e-03 3.94612e+05  -3.94411e+05 0.00000e+00 
8.68235e-03 4.22992e+05  -4.22831e+05 0.00000e+00 
8.70944e-03 4.47273e+05  -4.47148e+05 0.00000e+00 
8.73655e-03 4.66555e+05  -4.66457e+05 0.00000e+00 
8.76366e-03 4.80122e+05  -4.80041e+05 0.00000e+00 
8.79080e-03 4.87479e+05  -4.87405e+05 0.00000e+00 
8.81795e-03 4.88387e+05  -4.88306e+05 0.00000e+00 
8.84512e-03 4.82873e+05  -4.82774e+05 0.00000e+00 
8.87231e-03 4.71232e+05  -4.71104e+05 0.00000e+00 
8.89952e-03 4.54035e+05  -4.53868e+05 0.00000e+00 
8.92672e-03 4.32085e+05  -4.31872e+05 0.00000e+00 
8.95391e-03 4.06333e+05  -4.06071e+05 0.00000e+00 
8.98107e-03 3.77833e+05  -3.77522e+05 0.00000e+00 
9.00822e-03 3.47692e+05  -3.47334e+05 0.00000e+00 
9.03535e-03 3.17002e+05  -3.16604e+05 0.00000e+00 
9.06247e-03 2.86790e+05  -2.86361e+05 0.00000e+00 
9.08957e-03 2.57966e+05  -2.57515e+05 0.00000e+00 
9.11666e-03 2.31278e+05  -2.30819e+05 0.00000e+00 
9.14374e-03 2.07289e+05  -2.06834e+05 0.00000e+00 
9.17081e-03 1.86355e+05  -1.85917e+05 0.00000e+00 
9.19787e-03 1.68627e+05  -1.68218e+05 0.00000e+00 
9.22494e-03 1.54061e+05  -1.53691e+05 0.00000e+00 
9.25200e-03 1.42442e+05  -1.42118e+05 0.00000e+00 
9.27907e-03 1.33417e+05  -1.33144e+05 0.00000e+00 
9.30614e-03 1.26540e+05  -1.26318e+05 0.00000e+00 
9.33321e-03 1.21318e+05  -1.21146e+05 0.00000e+00 
9.36030e-03 1.17259e+05  -1.17130e+05 0.00000e+00 
9.38740e-03 1.13917e+05  -1.13824e+05 0.00000e+00 
9.41451e-03 1.10930e+05  -1.10861e+05 0.00000e+00 
9.44163e-03 1.08054e+05  -1.07998e+05 0.00000e+00 
9.46875e-03 1.05192e+05  -1.05135e+05 0.00000e+00 
9.49589e-03 1.02398e+05  -1.02328e+05 0.00000e+00 
9.52305e-03 9.98809e+04  -9.97847e+04 0.00000e+00 
9.55022e-03 9.79802e+04  -9.78481e+04 0.00000e+00 
9.57740e-03 9.71442e+04  -9.69684e+04 0.00000e+00 
9.60461e-03 9.78901e+04  -9.76655e+04 0.00000e+00 
9.63184e-03 1.00759e+05  -1.00484e+05 0.00000e+00 
9.65905e-03 1.06264e+05  -1.05940e+05 0.00000e+00 
9.68624e-03 1.14837e+05  -1.14469e+05 0.00000e+00 
9.71340e-03 1.26797e+05  -1.26393e+05 0.00000e+00 
9.74055e-03 1.42310e+05  -1.41879e+05 0.00000e+00 
9.76768e-03 1.61363e+05  -1.60917e+05 0.00000e+00 
9.79478e-03 1.83754e+05  -1.83305e+05 0.00000e+00 
9.82187e-03 2.09091e+05  -2.08651e+05 0.00000e+00 
9.84895e-03 2.36798e+05  -2.36379e+05 0.00000e+00 
9.87601e-03 2.66148e+05  -2.65759e+05 0.00000e+00 
9.90307e-03 2.96285e+05  -2.95934e+05 0.00000e+00 
9.93012e-03 3.26273e+05  -3.25966e+05 0.00000e+00 
9.95717e-03 3.55136e+05  -3.54876e+05 0.00000e+00 
9.98422e-03 3.81903e+05  -3.81690e+05 0.00000e+00 
