1.29034e-02 1.14598e+10  -1.14586e+10 0.00000e+00 
1.30388e-02 1.19495e+10  -1.19482e+10 0.00000e+00 
1.31743e-02 1.24548e+10  -1.24535e+10 0.00000e+00 
1.33098e-02 1.29759e+10  -1.29745e+10 0.00000e+00 
1.34452e-02 1.35131e+10  -1.35117e+10 0.00000e+00 
1.35806e-02 1.40669e+10  -1.40655e+10 0.00000e+00 
1.37161e-02 1.46375e+10  -1.46361e+10 0.00000e+00 
1.38515e-02 1.52253e+10  -1.52238e+10 0.00000e+00 
1.39869e-02 1.58306e+10  -1.58291e+10 0.00000e+00 
1.41223e-02 1.64537e+10  -1.64522e+10 0.00000e+00 
1.42577e-02 1.70951e+10  -1.70935e+10 0.00000e+00 
1.43931e-02 1.77550e+10  -1.77534e+10 0.00000e+00 
1.45285e-02 1.84338e+10  -1.84322e+10 0.00000e+00 
1.46639e-02 1.91320e+10  -1.91303e+10 0.00000e+00 
1.47993e-02 1.98497e+10  -1.98480e+10 0.00000e+00 
1.49346e-02 2.05874e+10  -2.05857e+10 0.00000e+00 
1.50700e-02 2.13455e+10  -2.13438e+10 0.00000e+00 
1.52054e-02 2.21244e+10  -2.21226e+10 0.00000e+00 
1.53407e-02 2.29243e+10  -2.29225e+10 0.00000e+00 
1.54760e-02 2.37457e+10  -2.37439e+10 0.00000e+00 
1.56114e-02 2.45890e+10  -2.45872e+10 0.00000e+00 
1.57467e-02 2.54546e+10  -2.54527e+10 0.00000e+00 
1.58820e-02 2.63427e+10  -2.63408e+10 0.00000e+00 
1.60173e-02 2.72539e+10  -2.72520e+10 0.00000e+00 
1.61526e-02 2.81886e+10  -2.81866e+10 0.00000e+00 
1.62879e-02 2.91470e+10  -2.91450e+10 0.00000e+00 
1.64232e-02 3.01297e+10  -3.01276e+10 0.00000e+00 
1.65585e-02 3.11370e+10  -3.11349e+10 0.00000e+00 
1.66937e-02 3.21693e+10  -3.21672e+10 0.00000e+00 
1.68290e-02 3.32271e+10  -3.32249e+10 0.00000e+00 
1.69643e-02 3.43107e+10  -3.43085e+10 0.00000e+00 
1.70995e-02 3.54206e+10  -3.54183e+10 0.00000e+00 
1.72348e-02 3.65572e+10  -3.65549e+10 0.00000e+00 
1.73700e-02 3.77209e+10  -3.77185e+10 0.00000e+00 
1.75052e-02 3.89121e+10  -3.89098e+10 0.00000e+00 
1.76404e-02 4.01313e+10  -4.01289e+10 0.00000e+00 
1.77757e-02 4.13790e+10  -4.13765e+10 0.00000e+00 
1.79109e-02 4.26554e+10  -4.26530e+10 0.00000e+00 
1.80461e-02 4.39612e+10  -4.39587e+10 0.00000e+00 
1.81812e-02 4.52967e+10  -4.52942e+10 0.00000e+00 
1.83164e-02 4.66624e+10  -4.66598e+10 0.00000e+00 
1.84516e-02 4.80586e+10  -4.80560e+10 0.00000e+00 
1.85868e-02 4.94860e+10  -4.94834e+10 0.00000e+00 
1.87219e-02 5.09449e+10  -5.09423e+10 0.00000e+00 
1.88571e-02 5.24359e+10  -5.24331e+10 0.00000e+00 
1.89922e-02 5.39592e+10  -5.39565e+10 0.00000e+00 
1.91274e-02 5.55155e+10  -5.55127e+10 0.00000e+00 
